id,make,model,year,fuelType1,drive,trany,VClass,cylinders,displ,speeds,drive_number,avgMpg
41441,Buick,Envision AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic 6-spd,Small Sport Utility Vehicle 4WD,4.0,2.5,6.0,4,30.54
41442,Buick,Envision AWD,2020,Premium Gasoline,All-Wheel Drive,Automatic 9-spd,Small Sport Utility Vehicle 4WD,4.0,2.0,9.0,4,28.95959
41443,Hyundai,Tucson AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 4WD,4.0,2.0,6.0,4,30.23
41444,Hyundai,Tucson AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 4WD,4.0,2.4,6.0,4,30.07118
41445,Land Rover,Range Rover Velar P380,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Small Sport Utility Vehicle 4WD,6.0,3.0,8.0,4,25.82
41446,Land Rover,Range Rover Velar,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Small Sport Utility Vehicle 4WD,6.0,3.0,8.0,4,25.82
41447,Jaguar,F-Type AWD Coupe,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Two Seaters,8.0,5.0,8.0,4,23.580329999999996
41448,Jaguar,F-Type AWD Convertible,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Two Seaters,8.0,5.0,8.0,4,23.580329999999996
41450,Chevrolet,Spark,2020,Regular Gasoline,Front-Wheel Drive,Manual 5-spd,Subcompact Cars,4.0,1.4,5.0,2,43.64762
41451,Chevrolet,Spark ACTIV,2020,Regular Gasoline,Front-Wheel Drive,Manual 5-spd,Subcompact Cars,4.0,1.4,5.0,2,43.64762
41453,Lexus,RC F,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Subcompact Cars,8.0,5.0,8.0,2,24.269999999999996
41454,Hyundai,Elantra,2020,Regular Gasoline,Front-Wheel Drive,Automatic (AM7),Midsize Cars,4.0,1.6,7.0,2,38.49
41455,Kia,Forte,2020,Regular Gasoline,Front-Wheel Drive,Automatic (AM7),Midsize Cars,4.0,1.6,7.0,2,38.730000000000004
41456,Kia,Forte,2020,Regular Gasoline,Front-Wheel Drive,Manual 6-spd,Midsize Cars,4.0,1.6,6.0,2,36.269999999999996
41459,Kia,Forte,2020,Regular Gasoline,Front-Wheel Drive,Manual 6-spd,Midsize Cars,4.0,2.0,6.0,2,41.31999999999999
41460,Genesis,G80 AWD,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Large Cars,6.0,3.3,8.0,4,25.11
41461,Genesis,G80 RWD,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Large Cars,6.0,3.3,8.0,2,25.839999999999996
41462,Genesis,G80 AWD,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Large Cars,8.0,5.0,8.0,4,22.599999999999998
41463,Genesis,G80 RWD,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Large Cars,8.0,5.0,8.0,2,24.02
41464,Kia,Optima,2020,Regular Gasoline,Front-Wheel Drive,Automatic (AM7),Large Cars,4.0,1.6,7.0,2,40.6
41465,Kia,Optima,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S6),Large Cars,4.0,2.0,6.0,2,31.409999999999997
41466,Kia,Optima,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S6),Large Cars,4.0,2.4,6.0,2,35.74195
41467,Kia,Optima FE,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S6),Large Cars,4.0,2.4,6.0,2,37.70928
41468,Ford,Transit Connect Van 2WD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S8),Special Purpose Vehicle 2WD,4.0,2.0,8.0,2,34.83
41469,Ford,Transit Connect Van FFV,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S8),Special Purpose Vehicle 2WD,4.0,2.0,8.0,2,34.83
41470,Ford,Transit Connect Wagon LWB FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S8),Special Purpose Vehicle 2WD,4.0,2.0,8.0,2,34.269999999999996
41471,Ford,Transit Connect Wagon LWB FFV,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S8),Special Purpose Vehicle 2WD,4.0,2.0,8.0,2,34.269999999999996
41472,Ford,Transit Connect Van 2WD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S6),Special Purpose Vehicle 2WD,4.0,2.5,6.0,2,28.64
41473,Ford,Transit Connect Wagon LWB FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S6),Special Purpose Vehicle 2WD,4.0,2.5,6.0,2,28.559999999999995
