title,release_date,original_language,genres,budget,revenue,runtime,year,Rated,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID
Robin Hood,2010-05-12,en,Action-Adventure-Drama,200000000.0,321669741.0,140.0,2010.0,PG-13,posters/Robin_Hood_2010_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,6.6,"286,558",tt0955308
From Russia with Love,1963-10-10,en,Action-Thriller-Adventure,2500000.0,78900000.0,115.0,1963.0,PG,posters/From_Russia_with_Love_1963_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83.0,7.3,"147,760",tt0057076
Seventh Son,2014-12-12,en,Adventure-Fantasy,95000000.0,114178613.0,102.0,2014.0,PG-13,posters/Seventh_Son_2014_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30.0,5.5,"81,267",tt1121096
Women Talking,2022-12-23,en,Drama,0.0,7589419.0,104.0,2022.0,PG-13,posters/Women_Talking_2022_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79.0,6.9,"43,911",tt13669038
Lone Survivor,2013-12-24,en,War-Action-Drama-History,40000000.0,149295601.0,121.0,2013.0,R,posters/Lone_Survivor_2013_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,7.5,"310,792",tt1091191
The Lego Batman Movie,2017-02-08,en,Animation-Action-Comedy-Family,80000000.0,311950384.0,104.0,2017.0,PG,posters/The_Lego_Batman_Movie_2017_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,7.3,"176,617",tt4116284
Look Away,2018-11-02,en,Horror-Thriller-Fantasy,0.0,1119537.0,103.0,2018.0,TV-MA,posters/Look_Away_2018_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}]",,5.8,"22,800",tt5834760
D.A.R.Y.L.,1985-06-14,en,Family-Science Fiction-Action,10000000.0,7840873.0,100.0,1985.0,PG,posters/D.A.R.Y.L._1985_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}]",,6.3,"14,313",tt0088979
Total Recall,2012-08-02,en,Action-Science Fiction-Thriller,125000000.0,198802074.0,118.0,2012.0,PG-13,posters/Total_Recall_2012_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43.0,6.2,"268,784",tt1386703
Soul Plane,2004-05-28,en,Romance-Comedy,16000000.0,14822346.0,86.0,2004.0,R,posters/Soul_Plane_2004_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33.0,4.5,"24,895",tt0367085
Emily,2022-10-14,en,Drama-History-Romance,0.0,1859871.0,130.0,2022.0,R,posters/Emily_2022_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,6.8,"8,652",tt12374656
AVP: Alien vs. Predator,2004-08-12,en,Adventure-Science Fiction-Action-Horror,70000000.0,177427090.0,101.0,2004.0,,,,,,,
Poseidon,2006-05-10,en,Adventure-Action-Drama-Thriller,160000000.0,181674817.0,98.0,2006.0,PG-13,posters/Poseidon_2006_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50.0,5.7,"111,514",tt0409182
Kingdom of Heaven,2005-05-03,en,Drama-Action-Adventure-History-War,130000000.0,218122627.0,144.0,2005.0,R,posters/Kingdom_of_Heaven_2005_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63.0,7.3,"323,321",tt0320661
