Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Utah,Washington,West Virginia,Wisconsin,Wyoming
06-2019,2607,849,3673,1902,19153,3092,1785,1187,1067,22,3655,425,905,308,1849,1584,2120,2094,2868,726,3787,2916,6185,2312,599,3700,688,1336,2632,741,2914,1335,6866,5398,493,4779,1571,1943,6038,512,4195,606,6258,14870,1363,255,1363,3698,559,2374,281
07-2019,2050,949,4033,2000,19899,3233,1847,1192,1110,15,3534,458,880,340,2391,1498,1687,2251,2781,797,3631,3146,6513,2373,639,3911,664,1290,2390,763,2989,1452,7373,5204,423,5129,1616,1975,2298,538,4334,601,6281,15223,1449,333,1449,3948,646,2570,251
08-2019,996,966,3964,2263,19810,3419,1893,1219,1063,19,3958,502,885,300,2570,1509,1619,2153,2873,785,3593,2992,6150,2221,739,3740,666,1419,2677,661,2840,1366,6860,5360,500,5027,1703,2012,6057,523,4055,767,6648,15993,1478,279,1478,3882,635,2422,260
09-2019,56,846,3929,2131,18587,3246,1743,1233,1079,18,3105,425,876,310,2337,1497,2056,2195,2970,676,3980,2834,5944,2300,661,3811,666,1371,2585,657,2830,1285,6577,5663,410,5217,1586,1841,6048,521,4485,636,6388,15241,1356,250,1356,3707,536,2544,294
10-2019,60,772,3661,2079,18922,3016,1814,1235,1056,29,2071,467,827,328,2207,1553,1632,2056,2801,659,3915,2643,5890,2226,599,3488,700,1228,2472,698,2768,1325,6483,5546,496,4656,1495,1846,6002,533,4174,681,6146,15948,1467,243,1467,3621,400,2492,305
11-2019,54,741,3537,1802,16200,2968,1709,1017,1159,25,2096,424,806,271,2202,1390,1504,1909,2532,621,3677,2469,5772,2054,598,3281,631,1231,2227,602,2523,1132,5765,5062,473,4293,1344,1720,5316,424,3750,637,5433,13063,1431,252,1431,3183,420,2379,278
12-2019,45,804,3361,1822,16728,2822,1703,1033,1357,150642,1983,455,888,247,2321,1394,1933,1939,2449,637,3404,2627,5748,2114,506,3373,650,1219,2171,600,2483,1100,5581,5049,411,4423,1439,1813,4858,453,3927,654,5768,13093,1388,239,1388,3406,549,2412,258
01-2020,3268,774,3616,2005,17800,3065,1742,1129,1138,23,2539,455,1001,299,2625,1469,1729,2091,2760,757,3785,2844,6109,2164,640,3368,642,1193,2548,583,2754,1172,6156,5640,483,4638,1523,1828,4524,479,4169,759,6202,14166,1469,245,1469,3492,608,2522,323
02-2020,2830,665,3465,1883,17306,2948,1615,969,1057,18,2543,407,916,271,2331,1316,1617,1911,2695,574,3441,2392,5514,1934,607,3010,533,1254,2274,542,2646,1137,5614,4954,418,4121,1426,1705,4135,436,3661,647,5220,13811,1367,211,1367,3291,564,2315,307
03-2020,2666,718,3795,2056,18511,3043,1707,1018,984,96,2485,390,1053,240,2356,1422,1750,1977,2761,680,3544,2419,5490,2055,676,3400,615,1317,2631,633,2634,1319,5622,5392,492,4495,1525,1751,3848,401,4073,737,5567,14861,1522,207,1522,3442,526,2309,305
04-2020,2506,815,3836,1917,18147,2828,1192,875,817,7,2085,342,817,259,2088,1199,1575,1835,2252,608,2678,2030,4784,1858,542,2829,648,1134,2282,524,2151,1291,4348,4991,476,4052,1496,1661,3102,285,3670,708,5011,13828,1403,210,1403,3443,451,2017,263
05-2020,2551,844,3879,2299,17979,3296,1642,958,904,7,2786,457,812,284,2491,1348,1870,2173,2812,721,3026,2535,5621,1986,681,3558,782,1312,2296,603,2569,1403,5872,5765,509,4670,1746,1854,3872,431,4331,727,5731,15703,1468,210,1468,3650,670,2464,347
06-2020,1377,790,3434,2121,17074,3071,1692,1139,807,354,2651,442,839,259,2497,1437,1892,2143,3023,731,3178,2518,5796,2119,635,3400,719,1316,2490,641,2500,1425,5561,5438,518,4761,1612,1775,4021,417,4435,734,5799,14177,1309,257,1309,3247,629,2438,359
07-2020,2273,831,3969,2077,18424,3210,1747,1127,846,31,2762,459,1009,270,2616,1606,1972,2261,2677,803,3527,2679,6151,2239,639,3724,765,1341,2700,640,2883,1459,6032,6080,579,4944,1708,1932,4337,500,4440,806,6036,15126,1492,265,1492,3689,653,2752,400
08-2020,1189,796,3783,2194,18500,3456,1747,1095,797,35,2689,470,1048,226,2626,1669,1938,2156,2912,766,3186,2843,6601,2145,697,3504,811,1376,2891,672,2822,1415,6427,5826,557,4919,1696,1864,4321,456,4281,754,5881,15245,1568,238,1568,3533,631,2629,401
09-2020,164,691,3766,1948,18092,2934,1766,1047,927,26,2780,397,923,182,2278,1400,1791,1936,2634,683,2278,2493,6021,1987,665,3033,659,1255,2706,636,2647,1247,5829,5398,470,4422,1599,1690,3949,435,3976,696,5518,13687,1461,259,1461,3312,577,2454,370
10-2020,162,765,3812,2028,17613,2954,1711,1020,860,0,2849,425,847,246,2217,1393,1847,2002,2725,647,2298,2368,5877,1991,605,3048,623,1063,2512,578,2428,1249,5982,5596,493,4300,1534,1633,3969,425,4032,629,5534,14558,1326,229,1326,3274,530,2360,369
11-2020,112,661,3325,1880,14723,2650,1526,855,749,0,2844,474,737,284,2090,1168,1636,1809,2617,554,2093,2226,5258,1732,519,2775,658,1005,2274,566,2259,1166,5529,5213,387,3857,1363,1438,3515,368,3690,589,4944,13647,1311,194,1311,2815,471,2260,337
12-2020,172,721,3316,1572,16337,2783,1503,874,1727,141793,2923,497,799,322,2137,1238,1673,1840,2455,562,2377,2259,5144,1730,484,2680,669,1141,2051,528,2078,1060,5661,4926,426,3946,1389,1596,3342,305,3612,590,4850,13120,1399,191,1399,2910,472,2147,323
01-2021,981,311,1796,1831,1300,2990,1576,947,39,2035,3036,554,853,1286,2138,1145,1756,2015,2135,550,652,2162,5327,1730,576,2841,746,608,2275,507,756,1286,1094,4996,422,3821,1320,1608,2424,376,3751,596,5288,13501,1423,184,1423,3074,481,2476,181
02-2021,1214,284,1624,1595,1802,2683,1471,833,49,1938,3121,478,707,1388,2129,1142,1622,1767,2015,483,641,1945,4968,1747,471,2367,605,599,2126,555,711,1208,1156,4463,454,3565,1361,1490,2341,323,3508,542,4553,12169,1383,205,1383,2771,493,2339,191
03-2021,1499,367,2034,1971,1991,2931,1621,961,73,2356,3424,530,982,1519,2907,1402,1907,1950,2535,599,745,2284,5709,1896,603,2846,766,731,2591,540,1507,1331,1421,5090,467,3981,1532,1719,2605,424,4064,555,5585,14112,1481,205,1481,3117,594,2714,182
04-2021,1387,304,2057,2092,2032,2918,1644,1033,71,2450,3377,613,901,1581,2357,1416,1866,1950,2448,575,743,2222,5428,1908,542,3025,727,733,2622,527,1583,1311,1502,5288,459,4045,1472,1718,2506,413,4108,576,5730,14127,1445,186,1445,3048,534,2505,185
05-2021,1635,373,2335,2199,2327,3060,1785,1092,91,2837,3531,627,957,1781,2624,1602,1907,1918,2709,601,894,2537,5839,2170,616,3156,742,766,2765,613,2079,1420,1568,5727,475,4376,1572,1847,3000,401,4350,729,5994,15505,1592,234,1592,3198,627,2740,245
06-2021,1622,423,2069,2224,2348,3090,1812,1103,81,2417,3255,602,968,1898,2607,1547,1954,1905,2547,669,894,2715,6342,2112,608,3171,817,659,2753,608,1765,1457,1697,5688,409,4212,1593,1904,3270,441,4148,647,5968,14753,1690,246,1690,3330,568,2701,197
07-2021,1618,452,2178,2149,2659,3193,1866,1108,75,2310,3438,613,966,3347,2360,1505,1840,1832,2477,659,1268,2896,6502,2143,593,2951,933,737,2699,528,1881,1484,1603,5622,512,4474,1667,1923,3198,418,4234,718,5701,14802,1679,244,1679,3361,585,2865,213
08-2021,1514,345,2168,2184,2797,3284,1812,1034,602,2756,3773,670,897,3540,2734,1545,2033,1776,2349,772,1193,2718,6542,2143,577,3176,806,706,2744,560,1753,1298,1531,5619,435,4236,1635,1782,3219,393,4289,665,5705,15022,1595,253,1595,3210,573,2663,211
09-2021,1884,331,2301,2173,3250,3107,1793,1116,573,2766,3670,671,904,3577,2617,1576,1938,1779,2459,596,1470,2574,5750,1972,593,3250,725,675,2641,551,1855,1343,1565,5918,530,4218,1555,1749,3071,451,4364,585,5635,14954,1602,255,1602,3091,530,2592,239
10-2021,1877,327,2125,2034,3348,3115,1752,1106,664,2948,3647,657,859,3664,2685,1664,1665,1962,2616,563,1481,2751,6287,2176,656,3024,770,660,2612,558,1907,1287,1577,5998,477,4330,1564,1750,3212,452,4386,688,5723,15252,1660,261,1660,3394,496,2723,248
11-2021,1816,315,2023,1815,3188,2796,1707,989,603,2429,3154,594,797,3359,2377,1523,1594,1756,2231,605,1410,2477,5674,1899,552,2929,683,679,2441,454,1876,1086,1423,5299,406,3845,1371,1656,2844,393,3839,625,5315,14102,1458,218,1458,3146,484,2333,174
